6,9,1918/9/20,6838
9,6,1918/9/29,6847
7,8,1918/10/6,6854
23,19,1918/10/6,6854
15,23,1918/10/20,6868
10,11,1919/3/9,7008
8,7,1919/4/6,7036
24,18,1919/5/11,7071
26,9,1919/5/11,7071
9,6,1919/5/13,7073
26,9,1919/5/15,7075
18,6,1919/5/17,7077
24,9,1919/5/18,7078
26,9,1919/5/21,7081
9,18,1919/5/22,7082
26,9,1919/5/24,7084
24,6,1919/5/26,7086
24,6,1919/5/29,7089
15,20,1919/5/29,7089
24,9,1919/6/1,7092
23,15,1919/6/5,7096
12,15,1919/6/9,7100
23,19,1919/6/12,7103
19,15,1919/6/29,7120
6,9,1919/7/18,7139
15,12,1919/8/24,7176
6,9,1919/8/24,7176
19,12,1919/8/31,7183
9,6,1919/9/7,7190
15,19,1919/9/14,7197
19,23,1919/9/21,7204
20,15,1919/9/28,7211
7,8,1919/10/5,7218
15,23,1919/10/12,7225
9,6,1919/10/19,7232
4,2,1919/10/25,7238
8,7,1919/11/9,7253
6,9,1919/12/7,7281
17,11,1920/1/18,7323
4,3,1920/2/14,7350
3,1,1920/2/26,7362
14,11,1920/2/29,7365
1,4,1920/3/13,7378
2,3,1920/3/15,7380
11,10,1920/3/28,7393
14,17,1920/3/28,7393
12,23,1920/4/5,7401
2,1,1920/4/10,7406
7,8,1920/5/2,7428
17,12,1920/5/13,7439
14,12,1920/5/16,7442
15,20,1920/5/30,7456
15,14,1920/6/6,7463
19,23,1920/6/13,7470
19,15,1920/6/27,7484
14,16,1920/6/27,7484
6,9,1920/7/18,7505
9,6,1920/7/25,7512
9,6,1920/8/8,7526
18,24,1920/9/11,7560
6,9,1920/9/12,7561
24,6,1920/9/18,7567
20,15,1920/9/19,7568
18,9,1920/9/20,7569
9,24,1920/9/25,7574
7,16,1920/9/26,7575
15,19,1920/9/26,7575
18,6,1920/10/3,7582
15,23,1920/10/10,7589
20,28,1920/10/17,7596
2,4,1920/10/23,7602
16,8,1920/10/24,7603
8,7,1920/11/7,7617
1,3,1921/2/12,7714
11,17,1921/2/20,7722
4,1,1921/2/26,7728
10,11,1921/3/6,7736
17,14,1921/3/6,7736
3,2,1921/3/14,7744
7,15,1921/3/26,7756
26,9,1921/4/7,7768
1,2,1921/4/9,7770
3,4,1921/4/9,7770
26,9,1921/4/14,7775
7,8,1921/4/24,7785
14,7,1921/5/1,7792
10,17,1921/5/5,7796
16,7,1921/5/5,7796
12,17,1921/5/8,7799
10,12,1921/5/15,7806
10,2,1921/5/21,7812
19,20,1921/5/25,7816
15,20,1921/5/29,7820
25,46,1921/5/30,7821
8,16,1921/6/5,7827
23,12,1921/6/12,7834
19,15,1921/6/19,7841
27,1,1921/7/9,7861
28,15,1921/7/22,7874
15,7,1921/7/24,7876
20,7,1921/7/31,7883
28,20,1921/8/28,7911
29,56,1921/9/14,7928
20,16,1921/9/18,7932
30,29,1921/9/18,7932
15,19,1921/9/18,7932
18,9,1921/9/25,7939
9,24,1921/10/2,7946
18,9,1921/10/2,7946
23,19,1921/10/2,7946
26,6,1921/10/9,7953
15,23,1921/10/9,7953
24,26,1921/10/12,7956
9,26,1921/10/16,7960
4,2,1921/10/22,7966
24,6,1921/10/23,7967
13,33,1921/10/28,7972
9,6,1921/10/30,7974
6,26,1921/11/2,7977
8,15,1921/11/6,7981
14,17,1921/11/6,7981
